year,age_bp,mean,lo_95,hi_95,n_members,cps_median,dcc_median,gam_median,paico_median,scc_median
-6050,8000.0,0.4623699963285114,0.28406462075245187,1.0522349078056168,250,0.932391229465394,0.44203081105487696,0.45603966320888023,0.45344671778170453,0.443625700384338
-5950,7900.0,0.47213493465055734,0.3018343843176855,1.180055495887648,250,0.9513164605438815,0.44018957385039503,0.46620672329802815,0.4595824689810935,0.42274854243023297
-5850,7800.0,0.48863059582772916,0.31812384476212757,1.1824662775448134,250,1.034798530161515,0.462090086684374,0.47216641092878914,0.48722171610325105,0.442151793501115
-5750,7700.0,0.5005283602112373,0.29815325470621573,1.287853204764797,250,1.1020521913304702,0.48682116045444945,0.48168272479504104,0.5222084726914931,0.4298552682431085
-5650,7600.0,0.5074314828227124,0.29010696892984816,1.3380347274644946,250,1.145547639191095,0.4863903969622445,0.4873030406550338,0.5125901578753409,0.4202619083232615
-5550,7500.0,0.5169222900951347,0.3349885087267556,1.4116532464934468,250,1.1670568502507601,0.480491779577927,0.496673850901466,0.508585785370973,0.4547089686838245
-5450,7400.0,0.5281022284029268,0.341209703620015,1.4876932246661847,250,1.22922485495353,0.5231277373763086,0.5086399214767925,0.517623911706226,0.4694498678290845
-5350,7300.0,0.536860994550992,0.39518207690129753,1.5548275037989123,250,1.25579701164151,0.5198900755852964,0.5197136984620546,0.5119983090848375,0.5051074978842884
-5250,7200.0,0.5539950700329255,0.39419062723950704,1.542393848028648,250,1.31656717190458,0.5495842502293355,0.5296999198356707,0.5091677171811545,0.5423627112932166
-5150,7100.0,0.5649033097092175,0.4180075122666891,1.5958372419896631,250,1.26867642844682,0.541397020895425,0.5420371020676211,0.518802055708855,0.5717881528400425
-5050,7000.0,0.5746524769764444,0.41788017553173956,1.5364227654226086,250,1.26446676328167,0.564355467906697,0.5510788084456544,0.5314998317103815,0.591410461463282
-4950,6900.0,0.5850789895352217,0.40919518456634835,1.441791137183191,250,1.22469849852749,0.5617748993916065,0.5634871499202869,0.5485319424792006,0.6042163099888036
-4850,6800.0,0.5947248996521656,0.41041344302018795,1.5356387617624112,250,1.362217235590525,0.546975874540403,0.5714322349523159,0.5609114884174695,0.6011917672109925
-4750,6700.0,0.598798535753074,0.43196293552847187,1.607255606132115,250,1.45880835412233,0.575925014541954,0.5703594925298439,0.5682710549261085,0.6451015228548115
-4650,6600.0,0.608547253584929,0.42402382063999744,1.503247569063786,250,1.31259981130608,0.5654988296580175,0.5696297531759922,0.577480758803292,0.6720985179367676
-4550,6500.0,0.5960666568243443,0.42098307750873143,1.6328971463260498,250,1.300254357462155,0.5486375883385526,0.5616283554658936,0.5740937363701639,0.6142612372670685
-4450,6400.0,0.6147706341937089,0.46624941386935453,1.6716067039127922,250,1.4369607976036498,0.6081999921248995,0.5572180572089303,0.558148017130297,0.6166301694031979
-4350,6300.0,0.6117405032221248,0.4598059177949072,1.6163449562631549,250,1.34559726462654,0.6129171915354505,0.5537957830384881,0.5516506558916385,0.6406347681642455
-4250,6200.0,0.5892701926395221,0.4260476637096045,1.5959232812193866,250,1.39786499840169,0.5692001239865425,0.5464743989489405,0.5591867656324561,0.6047119355251325
