cell,clat,clon,cell_area,clon180
170,-67.3104334577818,-72.3659110266288,127164071850.05496,-72.3659110266288
171,-67.3104334577818,-63.993818003373036,127164071850.05577,-63.993818003373036
172,-67.3104334577818,-55.62172498011722,127164071850.05669,-55.62172498011722
173,-67.3104334577818,-47.24963195686138,127164071850.0568,-47.24963195686138
174,-67.3104334577818,-38.87753893360559,127164071850.05495,-38.87753893360559
175,-67.3104334577818,-30.50544591034975,127164071850.05843,-30.50544591034975
176,-67.3104334577818,-22.133352887093906,127164071850.0551,-22.133352887093906
177,-64.13711514991962,-14.546143584768288,127256160748.17732,-14.546143584768288
178,-64.13711514991962,-7.046143584768345,127256160748.17532,-7.046143584768345
179,-64.13711514991962,0.4538564152316553,127256160748.1792,0.4538564152316553
180,-64.13711514991962,7.9538564152316615,127256160748.17706,7.953856415231655
181,-64.13711514991962,15.453856415231652,127256160748.17706,15.453856415231655
182,-64.13711514991962,22.953856415231648,127256160748.17729,22.953856415231655
183,-64.13711514991962,30.453856415231638,127256160748.17708,30.453856415231627
184,-64.13711514991962,37.95385641523163,127256160748.17722,37.95385641523163
185,-64.13711514991962,45.45385641523162,127256160748.17691,45.45385641523163
186,-64.13711514991962,52.95385641523163,127256160748.17801,52.95385641523163
187,-64.13711514991962,60.453856415231655,127256160748.17738,60.453856415231655
188,-64.13711514991962,67.95385641523166,127256160748.17691,67.95385641523166
189,-64.13711514991962,75.45385641523163,127256160748.17702,75.45385641523163
190,-64.13711514991962,82.95385641523163,127256160748.17705,82.9538564152316
191,-64.13711514991962,90.45385641523163,127256160748.17712,90.4538564152316
192,-64.13711514991962,97.95385641523161,127256160748.17726,97.9538564152316
193,-64.13711514991962,105.45385641523163,127256160748.17796,105.4538564152316
194,-64.13711514991962,112.95385641523163,127256160748.176,112.9538564152316
195,-64.13711514991962,120.4538564152316,127256160748.17786,120.4538564152316
196,-64.13711514991962,127.95385641523166,127256160748.17809,127.95385641523166
197,-64.13711514991962,135.45385641523166,127256160748.17667,135.45385641523166
198,-64.13711514991962,142.95385641523166,127256160748.17755,142.95385641523166
199,-64.13711514991962,150.45385641523163,127256160748.17616,150.4538564152316
200,-64.13711514991962,157.9538564152316,127256160748.1779,157.9538564152316
201,-64.13711514991962,165.45385641523166,127256160748.17793,165.45385641523166
202,-64.13711514991962,172.95385641523166,127256160748.17613,172.95385641523166
203,-64.13711514991962,0.4538564152316411,127256160748.17781,0.4538564152316553
204,-64.13711514991962,-172.04614358476834,127256160748.17656,-172.04614358476834
205,-64.13711514991962,-164.54614358476837,127256160748.178,-164.54614358476837
206,-64.13711514991962,-157.04614358476837,127256160748.17621,-157.04614358476837
207,-64.13711514991962,-149.5461435847684,127256160748.17747,-149.5461435847684
208,-64.13711514991962,-142.0461435847684,127256160748.17706,-142.0461435847684
209,-64.13711514991962,-134.5461435847684,127256160748.17726,-134.5461435847684
210,-64.13711514991962,-127.04614358476837,127256160748.17845,-127.04614358476837
211,-64.13711514991962,-119.54614358476832,127256160748.1779,-119.54614358476832
212,-64.13711514991962,-112.04614358476834,127256160748.17543,-112.04614358476834
213,-64.13711514991962,-104.5461435847684,127256160748.17729,-104.5461435847684
214,-64.13711514991962,-97.0461435847684,127256160748.17729,-97.0461435847684
215,-64.13711514991962,-89.54614358476837,127256160748.1782,-89.54614358476837
216,-64.13711514991962,-82.04614358476832,127256160748.17824,-82.04614358476832
217,-64.13711514991962,-74.54614358476837,127256160748.1743,-74.54614358476837
218,-64.13711514991962,-67.04614358476843,127256160748.17844,-67.04614358476843
219,-64.13711514991962,-59.54614358476837,127256160748.17804,-59.54614358476837
220,-64.13711514991962,-52.046143584768345,127256160748.17754,-52.046143584768345
221,-64.13711514991962,-44.546143584768316,127256160748.17813,-44.546143584768316
222,-64.13711514991962,-37.04614358476837,127256160748.17451,-37.04614358476837
223,-64.13711514991962,-29.54614358476843,127256160748.1782,-29.54614358476843
224,-64.13711514991962,-22.046143584768345,127256160748.17912,-22.046143584768345
225,-60.93867137017154,-15.432507221132028,127337085009.7492,-15.432507221132028
226,-60.93867137017154,-8.887052675677467,127337085009.75142,-8.887052675677467
227,-60.93867137017154,-2.3415981302229056,127337085009.74924,-2.3415981302229056
228,-60.93867137017154,4.203856415231641,127337085009.74983,4.203856415231655
229,-60.93867137017154,10.749310960686172,127337085009.74994,10.74931096068616
230,-60.93867137017154,17.29476550614073,127337085009.75087,17.29476550614072
